Scenario,Metric,Value,StartTime,EndTime,Duration
defense_vs_attack,PacketDeliveryRatio,99.873418,221.000000,240.000000,19.000000
defense_vs_attack,PacketLossRatio,0.126582,221.000000,240.000000,19.000000
defense_vs_attack,EndToEndDelay,0.000313,221.000000,240.000000,19.000000
defense_vs_attack,Jitter,0.000143,221.000000,240.000000,19.000000
defense_vs_attack,Throughput,0.059077,221.000000,240.000000,19.000000
defense_vs_attack,AverageHopCount,0.063371,221.000000,240.000000,19.000000
defense_vs_attack,TotalEnergyConsumed,0.000000,221.000000,240.000000,19.000000
defense_vs_attack,EnergyEfficiency,0.000000,221.000000,240.000000,19.000000
defense_vs_attack,NormalizedRoutingLoad,3.045627,221.000000,240.000000,19.000000
defense_vs_attack,RoutingOverhead,3.045627,221.000000,240.000000,19.000000
defense_vs_attack,MACLayerOverhead,0.000000,221.000000,240.000000,19.000000
defense_vs_attack,AverageTCPacketRows,2.900000,221.000000,240.000000,19.000000
defense_vs_attack,HELLOPacketsPerSec,26.315789,221.000000,240.000000,19.000000
defense_vs_attack,TCPacketsPerSec,109.526316,221.000000,240.000000,19.000000
defense_vs_attack,MIDPacketsPerSec,0.000000,221.000000,240.000000,19.000000
defense_vs_attack,HNAPacketsPerSec,0.000000,221.000000,240.000000,19.000000
defense_vs_attack,MACDataPacketsPerSec,41.578947,221.000000,240.000000,19.000000
defense_vs_attack,MACControlPacketsPerSec,0.000000,221.000000,240.000000,19.000000
