Scenario,Metric,Value,StartTime,EndTime,Duration
defense_vs_attack,PacketDeliveryRatio,100.122399,221.000000,240.000000,19.000000
defense_vs_attack,PacketLossRatio,525699791.309669,221.000000,240.000000,19.000000
defense_vs_attack,EndToEndDelay,0.000291,221.000000,240.000000,19.000000
defense_vs_attack,Jitter,0.000134,221.000000,240.000000,19.000000
defense_vs_attack,Throughput,0.055629,221.000000,240.000000,19.000000
defense_vs_attack,AverageHopCount,0.061125,221.000000,240.000000,19.000000
defense_vs_attack,TotalEnergyConsumed,0.000000,221.000000,240.000000,19.000000
defense_vs_attack,EnergyEfficiency,0.000000,221.000000,240.000000,19.000000
defense_vs_attack,NormalizedRoutingLoad,2.960880,221.000000,240.000000,19.000000
defense_vs_attack,RoutingOverhead,2.960880,221.000000,240.000000,19.000000
defense_vs_attack,MACLayerOverhead,0.000000,221.000000,240.000000,19.000000
defense_vs_attack,AverageTCPacketRows,2.580000,221.000000,240.000000,19.000000
defense_vs_attack,HELLOPacketsPerSec,26.315789,221.000000,240.000000,19.000000
defense_vs_attack,TCPacketsPerSec,113.421053,221.000000,240.000000,19.000000
defense_vs_attack,MIDPacketsPerSec,0.000000,221.000000,240.000000,19.000000
defense_vs_attack,HNAPacketsPerSec,0.000000,221.000000,240.000000,19.000000
defense_vs_attack,MACDataPacketsPerSec,43.000000,221.000000,240.000000,19.000000
defense_vs_attack,MACControlPacketsPerSec,0.000000,221.000000,240.000000,19.000000
