Scenario,Metric,Value,StartTime,EndTime,Duration
baseline,PacketDeliveryRatio,99.877301,61.000000,80.000000,19.000000
baseline,PacketLossRatio,0.122699,61.000000,80.000000,19.000000
baseline,EndToEndDelay,0.000270,61.000000,80.000000,19.000000
baseline,Jitter,0.000103,61.000000,80.000000,19.000000
baseline,Throughput,0.049793,61.000000,80.000000,19.000000
baseline,AverageHopCount,0.061425,61.000000,80.000000,19.000000
baseline,TotalEnergyConsumed,0.000000,61.000000,80.000000,19.000000
baseline,EnergyEfficiency,0.000000,61.000000,80.000000,19.000000
baseline,NormalizedRoutingLoad,3.009828,61.000000,80.000000,19.000000
baseline,RoutingOverhead,3.009828,61.000000,80.000000,19.000000
baseline,MACLayerOverhead,0.000000,61.000000,80.000000,19.000000
baseline,AverageTCPacketRows,2.080000,61.000000,80.000000,19.000000
baseline,HELLOPacketsPerSec,26.315789,61.000000,80.000000,19.000000
baseline,TCPacketsPerSec,100.789474,61.000000,80.000000,19.000000
baseline,MIDPacketsPerSec,0.000000,61.000000,80.000000,19.000000
baseline,HNAPacketsPerSec,0.000000,61.000000,80.000000,19.000000
baseline,MACDataPacketsPerSec,42.894737,61.000000,80.000000,19.000000
baseline,MACControlPacketsPerSec,0.000000,61.000000,80.000000,19.000000
