Scenario,Metric,Value,StartTime,EndTime,Duration
baseline,PacketDeliveryRatio,100.112486,61.000000,80.000000,19.000000
baseline,PacketLossRatio,483123430.258718,61.000000,80.000000,19.000000
baseline,EndToEndDelay,0.000313,61.000000,80.000000,19.000000
baseline,Jitter,0.000144,61.000000,80.000000,19.000000
baseline,Throughput,0.066310,61.000000,80.000000,19.000000
baseline,AverageHopCount,0.056180,61.000000,80.000000,19.000000
baseline,TotalEnergyConsumed,0.000000,61.000000,80.000000,19.000000
baseline,EnergyEfficiency,0.000000,61.000000,80.000000,19.000000
baseline,NormalizedRoutingLoad,2.752809,61.000000,80.000000,19.000000
baseline,RoutingOverhead,2.752809,61.000000,80.000000,19.000000
baseline,MACLayerOverhead,0.000000,61.000000,80.000000,19.000000
baseline,AverageTCPacketRows,2.780000,61.000000,80.000000,19.000000
baseline,HELLOPacketsPerSec,26.315789,61.000000,80.000000,19.000000
baseline,TCPacketsPerSec,158.315789,61.000000,80.000000,19.000000
baseline,MIDPacketsPerSec,0.000000,61.000000,80.000000,19.000000
baseline,HNAPacketsPerSec,0.000000,61.000000,80.000000,19.000000
baseline,MACDataPacketsPerSec,46.789474,61.000000,80.000000,19.000000
baseline,MACControlPacketsPerSec,0.000000,61.000000,80.000000,19.000000
