Scenario,Metric,Value,StartTime,EndTime,Duration
baseline,PacketDeliveryRatio,99.888143,61.000000,80.000000,19.000000
baseline,PacketLossRatio,0.111857,61.000000,80.000000,19.000000
baseline,EndToEndDelay,0.000337,61.000000,80.000000,19.000000
baseline,Jitter,0.000170,61.000000,80.000000,19.000000
baseline,Throughput,0.073353,61.000000,80.000000,19.000000
baseline,AverageHopCount,0.055991,61.000000,80.000000,19.000000
baseline,TotalEnergyConsumed,0.000000,61.000000,80.000000,19.000000
baseline,EnergyEfficiency,0.000000,61.000000,80.000000,19.000000
baseline,NormalizedRoutingLoad,2.743561,61.000000,80.000000,19.000000
baseline,RoutingOverhead,2.743561,61.000000,80.000000,19.000000
baseline,MACLayerOverhead,0.000000,61.000000,80.000000,19.000000
baseline,AverageTCPacketRows,2.800000,61.000000,80.000000,19.000000
baseline,HELLOPacketsPerSec,26.315789,61.000000,80.000000,19.000000
baseline,TCPacketsPerSec,193.368421,61.000000,80.000000,19.000000
baseline,MIDPacketsPerSec,0.000000,61.000000,80.000000,19.000000
baseline,HNAPacketsPerSec,0.000000,61.000000,80.000000,19.000000
baseline,MACDataPacketsPerSec,47.052632,61.000000,80.000000,19.000000
baseline,MACControlPacketsPerSec,0.000000,61.000000,80.000000,19.000000
