Scenario,Metric,Value,StartTime,EndTime,Duration
baseline,PacketDeliveryRatio,100.113122,61.000000,80.000000,19.000000
baseline,PacketLossRatio,485856028.846154,61.000000,80.000000,19.000000
baseline,EndToEndDelay,0.000332,61.000000,80.000000,19.000000
baseline,Jitter,0.000186,61.000000,80.000000,19.000000
baseline,Throughput,0.071722,61.000000,80.000000,19.000000
baseline,AverageHopCount,0.056497,61.000000,80.000000,19.000000
baseline,TotalEnergyConsumed,0.000000,61.000000,80.000000,19.000000
baseline,EnergyEfficiency,0.000000,61.000000,80.000000,19.000000
baseline,NormalizedRoutingLoad,2.768362,61.000000,80.000000,19.000000
baseline,RoutingOverhead,2.768362,61.000000,80.000000,19.000000
baseline,MACLayerOverhead,0.000000,61.000000,80.000000,19.000000
baseline,AverageTCPacketRows,2.780000,61.000000,80.000000,19.000000
baseline,HELLOPacketsPerSec,26.315789,61.000000,80.000000,19.000000
baseline,TCPacketsPerSec,184.105263,61.000000,80.000000,19.000000
baseline,MIDPacketsPerSec,0.000000,61.000000,80.000000,19.000000
baseline,HNAPacketsPerSec,0.000000,61.000000,80.000000,19.000000
baseline,MACDataPacketsPerSec,46.526316,61.000000,80.000000,19.000000
baseline,MACControlPacketsPerSec,0.000000,61.000000,80.000000,19.000000
