Scenario,Metric,Value,StartTime,EndTime,Duration
defense,PacketDeliveryRatio,100.121065,141.000000,160.000000,19.000000
defense,PacketLossRatio,519971827.481840,141.000000,160.000000,19.000000
defense,EndToEndDelay,0.000339,141.000000,160.000000,19.000000
defense,Jitter,0.000193,141.000000,160.000000,19.000000
defense,Throughput,0.068641,141.000000,160.000000,19.000000
defense,AverageHopCount,0.060459,141.000000,160.000000,19.000000
defense,TotalEnergyConsumed,0.000000,141.000000,160.000000,19.000000
defense,EnergyEfficiency,0.000000,141.000000,160.000000,19.000000
defense,NormalizedRoutingLoad,2.962515,141.000000,160.000000,19.000000
defense,RoutingOverhead,2.962515,141.000000,160.000000,19.000000
defense,MACLayerOverhead,0.000000,141.000000,160.000000,19.000000
defense,AverageTCPacketRows,2.920000,141.000000,160.000000,19.000000
defense,HELLOPacketsPerSec,26.315789,141.000000,160.000000,19.000000
defense,TCPacketsPerSec,163.578947,141.000000,160.000000,19.000000
defense,MIDPacketsPerSec,0.000000,141.000000,160.000000,19.000000
defense,HNAPacketsPerSec,0.000000,141.000000,160.000000,19.000000
defense,MACDataPacketsPerSec,43.473684,141.000000,160.000000,19.000000
defense,MACControlPacketsPerSec,0.000000,141.000000,160.000000,19.000000
