Scenario,Metric,Value,StartTime,EndTime,Duration
defense,PacketDeliveryRatio,99.881376,141.000000,160.000000,19.000000
defense,PacketLossRatio,0.118624,141.000000,160.000000,19.000000
defense,EndToEndDelay,0.000277,141.000000,160.000000,19.000000
defense,Jitter,0.000106,141.000000,160.000000,19.000000
defense,Throughput,0.053651,141.000000,160.000000,19.000000
defense,AverageHopCount,0.059382,141.000000,160.000000,19.000000
defense,TotalEnergyConsumed,0.000000,141.000000,160.000000,19.000000
defense,EnergyEfficiency,0.000000,141.000000,160.000000,19.000000
defense,NormalizedRoutingLoad,2.909739,141.000000,160.000000,19.000000
defense,RoutingOverhead,2.909739,141.000000,160.000000,19.000000
defense,MACLayerOverhead,0.000000,141.000000,160.000000,19.000000
defense,AverageTCPacketRows,2.220000,141.000000,160.000000,19.000000
defense,HELLOPacketsPerSec,26.315789,141.000000,160.000000,19.000000
defense,TCPacketsPerSec,116.052632,141.000000,160.000000,19.000000
defense,MIDPacketsPerSec,0.000000,141.000000,160.000000,19.000000
defense,HNAPacketsPerSec,0.000000,141.000000,160.000000,19.000000
defense,MACDataPacketsPerSec,44.368421,141.000000,160.000000,19.000000
defense,MACControlPacketsPerSec,0.000000,141.000000,160.000000,19.000000
