Scenario,Metric,Value,StartTime,EndTime,Duration
defense,PacketDeliveryRatio,100.118483,141.000000,160.000000,19.000000
defense,PacketLossRatio,508882380.924171,141.000000,160.000000,19.000000
defense,EndToEndDelay,0.000300,141.000000,160.000000,19.000000
defense,Jitter,0.000140,141.000000,160.000000,19.000000
defense,Throughput,0.059648,141.000000,160.000000,19.000000
defense,AverageHopCount,0.059172,141.000000,160.000000,19.000000
defense,TotalEnergyConsumed,0.000000,141.000000,160.000000,19.000000
defense,EnergyEfficiency,0.000000,141.000000,160.000000,19.000000
defense,NormalizedRoutingLoad,2.899408,141.000000,160.000000,19.000000
defense,RoutingOverhead,2.899408,141.000000,160.000000,19.000000
defense,MACLayerOverhead,0.000000,141.000000,160.000000,19.000000
defense,AverageTCPacketRows,2.380000,141.000000,160.000000,19.000000
defense,HELLOPacketsPerSec,26.315789,141.000000,160.000000,19.000000
defense,TCPacketsPerSec,133.368421,141.000000,160.000000,19.000000
defense,MIDPacketsPerSec,0.000000,141.000000,160.000000,19.000000
defense,HNAPacketsPerSec,0.000000,141.000000,160.000000,19.000000
defense,MACDataPacketsPerSec,44.421053,141.000000,160.000000,19.000000
defense,MACControlPacketsPerSec,0.000000,141.000000,160.000000,19.000000
