Scenario,Metric,Value,StartTime,EndTime,Duration
defense,PacketDeliveryRatio,100.129870,141.000000,160.000000,19.000000
defense,PacketLossRatio,557787960.389610,141.000000,160.000000,19.000000
defense,EndToEndDelay,0.000299,141.000000,160.000000,19.000000
defense,Jitter,0.000128,141.000000,160.000000,19.000000
defense,Throughput,0.054152,141.000000,160.000000,19.000000
defense,AverageHopCount,0.064851,141.000000,160.000000,19.000000
defense,TotalEnergyConsumed,0.000000,141.000000,160.000000,19.000000
defense,EnergyEfficiency,0.000000,141.000000,160.000000,19.000000
defense,NormalizedRoutingLoad,3.177691,141.000000,160.000000,19.000000
defense,RoutingOverhead,3.177691,141.000000,160.000000,19.000000
defense,MACLayerOverhead,0.000000,141.000000,160.000000,19.000000
defense,AverageTCPacketRows,2.460000,141.000000,160.000000,19.000000
defense,HELLOPacketsPerSec,26.315789,141.000000,160.000000,19.000000
defense,TCPacketsPerSec,108.526316,141.000000,160.000000,19.000000
defense,MIDPacketsPerSec,0.000000,141.000000,160.000000,19.000000
defense,HNAPacketsPerSec,0.000000,141.000000,160.000000,19.000000
defense,MACDataPacketsPerSec,40.526316,141.000000,160.000000,19.000000
defense,MACControlPacketsPerSec,0.000000,141.000000,160.000000,19.000000
